frame,health,gt_x,gt_y,est_x,est_y,est_z,slam_dx,slam_dy
75,1,-1.65656,2.39592,-1.67344,2.34958,0.0,-0.0049138,0.0083947
76,1,-1.86469,2.63988,-1.87557,2.58732,0.0,-0.0047446,0.0075763
77,0,-2.06811,2.85719,-2.07948,2.79933,0.0,-0.004898,0.0068539
78,0,-2.2663,3.04564,-2.27718,2.99251,0.0,-0.0047982,0.0062941
79,0,-2.45878,3.20334,-2.46446,3.15111,0.0,-0.0046429,0.0052707
80,0,-2.64503,3.3287,-2.65075,3.27267,0.0,-0.0047632,0.0042157
81,0,-2.82461,3.42044,-2.82809,3.36295,0.0,-0.004636,0.0032918
82,0,-2.99705,3.47764,-2.99523,3.42246,0.0,-0.004472,0.0023771
83,0,-3.16193,3.49972,-3.16439,3.44121,0.0,-0.0046917,0.0012296
84,0,-3.31881,3.48647,-3.32369,3.42318,0.0,-0.0045613,0.0001454
85,0,-3.46731,3.438,-3.47507,3.37478,0.0,-0.0044595,-0.0007485
86,0,-3.60705,3.35483,-3.62333,3.29093,0.0,-0.0045135,-0.0017666
87,0,-3.73768,3.23777,-3.74772,3.16714,0.0,-0.0040008,-0.0029978
88,0,-3.85887,3.08802,-3.87542,3.02143,0.0,-0.0041818,-0.0036061
89,1,-3.97031,2.90709,-3.98945,2.84286,0.0,-0.0039278,-0.0045943
90,0,-4.07172,2.6968,-4.09044,2.63355,0.0,-0.0036835,-0.0055198
91,0,-4.16285,2.45927,-4.18237,2.3973,0.0,-0.0035362,-0.0063214
92,0,-4.24346,2.19692,-4.2643,2.14014,0.0,-0.0033377,-0.0069557
93,0,-4.31335,1.91238,-4.33398,1.85901,0.0,-0.0030886,-0.0076859
94,0,-4.37234,1.60853,-4.39041,1.55908,0.0,-0.0027907,-0.008274
95,0,-4.42029,1.28844,-4.43797,1.23247,0.0,-0.0026471,-0.0090671
96,0,-4.45708,0.95533,-4.47504,0.90447,0.0,-0.0023574,-0.0091497
97,0,-4.4826,0.61258,-4.50562,0.55891,0.0,-0.0022444,-0.0096745
98,0,-4.4968,0.26364,-4.51817,0.206,0.0,-0.001766,-0.0099573
99,0,-4.49965,-0.08796,-4.52265,-0.14337,0.0,-0.0015243,-0.0098904
100,0,-4.49112,-0.43867,-4.51133,-0.49203,0.0,-0.0010763,-0.0099351
101,0,-4.47125,-0.78495,-4.49187,-0.83676,0.0,-0.0008311,-0.0098576
102,0,-4.44009,-1.1233,-4.45849,-1.1747,0.0,-0.0004118,-0.0097221
103,0,-4.39771,-1.45032,-4.42217,-1.50632,0.0,-0.0003035,-0.0095551
104,0,-4.34422,-1.76268,-4.37108,-1.81534,0.0,0.0002029,-0.0089752
105,0,-4.27975,-2.05725,-4.30313,-2.10358,0.0,0.0007613,-0.0084551
106,0,-4.20448,-2.33104,-4.22676,-2.37922,0.0,0.001049,-0.0081327
107,0,-4.11859,-2.5813,-4.14332,-2.62992,0.0,0.001348,-0.0074543
108,0,-4.02229,-2.80548,-4.05167,-2.85232,0.0,0.0016928,-0.0066857
109,0,-3.91583,-3.00134,-3.94424,-3.05351,0.0,0.0022221,-0.0061492
110,0,-3.79948,-3.16689,-3.82881,-3.22193,0.0,0.0025789,-0.0052527
111,0,-3.67353,-3.30047,-3.70319,-3.35332,0.0,0.0030142,-0.0042443
112,0,-3.5383,-3.40071,-3.56786,-3.45783,0.0,0.0033955,-0.0035224
113,0,-3.39413,-3.46662,-3.41952,-3.52084,0.0,0.0039281,-0.0023988
114,0,-3.24139,-3.49751,-3.2605,-3.54262,0.0,0.0043939,-0.0012735
115,0,-3.08046,-3.49309,-3.09487,-3.53968,0.0,0.0046792,-0.0005995
116,0,-2.91175,-3.4534,-2.92424,-3.50202,0.0,0.0049591,0.0003643
117,0,-2.73569,-3.37884,-2.75135,-3.42865,0.0,0.0051656,0.001368
118,0,-2.55271,-3.27015,-2.5635,-3.32199,0.0,0.0057206,0.0022504
119,1,-2.36329,-3.12845,-2.37457,-3.17908,0.0,0.0058959,0.0032739
120,1,-2.16789,-2.95515,-2.17442,-3.00831,0.0,0.0063238,0.0040179
121,1,-1.96702,-2.75201,-1.97294,-2.79943,0.0,0.0065136,0.0050934
122,1,-1.76118,-2.52108,-1.76675,-2.5685,0.0,0.0067347,0.0056992
123,1,-1.55089,-2.2647,-1.55912,-2.30965,0.0,0.0068867,0.0064853
124,1,-1.33669,-1.98544,-1.34564,-2.02838,0.0,0.0071417,0.0070969
