frame,x,y,z,dx,dy,dz
96,-3.726887,4.867895,10.000000,-3.726887,4.867895,0.000000
97,-3.920524,4.946362,10.000000,-3.920524,4.946362,0.000000
98,-4.107283,4.990134,10.000000,-4.107283,4.990134,0.000000
99,-4.286836,4.998903,10.000000,-4.286836,4.998903,0.000000
100,-4.458869,4.972609,10.000000,-4.458869,4.972609,0.000000
101,-4.623079,4.911436,10.000000,-4.623079,4.911436,0.000000
102,-4.779180,4.815813,10.000000,-4.779180,4.815813,0.000000
103,-4.926895,4.686410,10.000000,-4.926895,4.686410,0.000000
104,-5.065968,4.524135,10.000000,-5.065968,4.524135,0.000000
105,-5.196152,4.330127,10.000000,-5.196152,4.330127,0.000000
106,-5.317221,4.105746,10.000000,-5.317221,4.105746,0.000000
107,-5.428962,3.852566,10.000000,-5.428962,3.852566,0.000000
108,-5.531179,3.572363,10.000000,-5.531179,3.572363,0.000000
109,-5.623692,3.267103,10.000000,-5.623692,3.267103,0.000000
110,-5.706339,2.938926,10.000000,-5.706339,2.938926,0.000000
111,-5.778975,2.590135,10.000000,-5.778975,2.590135,0.000000
112,-5.841473,2.223176,10.000000,-5.841473,2.223176,0.000000
113,-5.893724,1.840623,10.000000,-5.893724,1.840623,0.000000
114,-5.935634,1.445159,10.000000,-5.935634,1.445159,0.000000
115,-5.967131,1.039558,10.000000,-5.967131,1.039558,0.000000
116,-5.988160,0.626666,10.000000,-5.988160,0.626666,0.000000
117,-5.998684,0.209378,10.000000,-5.998684,0.209378,0.000000
118,-5.998684,-0.209378,10.000000,-5.998684,-0.209378,0.000000
119,-5.988160,-0.626666,10.000000,-5.988160,-0.626666,0.000000
120,-5.967131,-1.039558,10.000000,-5.967131,-1.039558,0.000000
121,-5.935634,-1.445159,10.000000,-5.935634,-1.445159,0.000000
122,-5.893724,-1.840623,10.000000,-5.893724,-1.840623,0.000000
123,-5.841473,-2.223176,10.000000,-5.841473,-2.223176,0.000000
124,-5.778975,-2.590135,10.000000,-5.778975,-2.590135,0.000000
125,-5.706339,-2.938926,10.000000,-5.706339,-2.938926,0.000000
126,-5.623692,-3.267103,10.000000,-5.623692,-3.267103,0.000000
127,-5.531179,-3.572363,10.000000,-5.531179,-3.572363,0.000000
128,-5.428962,-3.852566,10.000000,-5.428962,-3.852566,0.000000
129,-5.317221,-4.105746,10.000000,-5.317221,-4.105746,0.000000
130,-5.196152,-4.330127,10.000000,-5.196152,-4.330127,0.000000
131,-5.065968,-4.524135,10.000000,-5.065968,-4.524135,0.000000
132,-4.926895,-4.686410,10.000000,-4.926895,-4.686410,0.000000
133,-4.779180,-4.815813,10.000000,-4.779180,-4.815813,0.000000
134,-4.623079,-4.911436,10.000000,-4.623079,-4.911436,0.000000
135,-4.458869,-4.972609,10.000000,-4.458869,-4.972609,0.000000
136,-4.286836,-4.998903,10.000000,-4.286836,-4.998903,0.000000
137,-4.107283,-4.990134,10.000000,-4.107283,-4.990134,0.000000
138,-3.920524,-4.946362,10.000000,-3.920524,-4.946362,0.000000
139,-3.726887,-4.867895,10.000000,-3.726887,-4.867895,0.000000
140,-3.526712,-4.755283,10.000000,-3.526712,-4.755283,0.000000
141,-3.320349,-4.609316,10.000000,-3.320349,-4.609316,0.000000
142,-3.108162,-4.431018,10.000000,-3.108162,-4.431018,0.000000
143,-2.890522,-4.221640,10.000000,-2.890522,-4.221640,0.000000
144,-2.667811,-3.982650,10.000000,-2.667811,-3.982650,0.000000
145,-2.440420,-3.715724,10.000000,-2.440420,-3.715724,0.000000
146,-2.208747,-3.422736,10.000000,-2.208747,-3.422736,0.000000
147,-1.973200,-3.105739,10.000000,-1.973200,-3.105739,0.000000
148,-1.734191,-2.766958,10.000000,-1.734191,-2.766958,0.000000
149,-1.492139,-2.408768,10.000000,-1.492139,-2.408768,0.000000
150,-1.247470,-2.033683,10.000000,-1.247470,-2.033683,0.000000
151,-1.000612,-1.644333,10.000000,-1.000612,-1.644333,0.000000
152,-0.751999,-1.243449,10.000000,-0.751999,-1.243449,0.000000
153,-0.502067,-0.833844,10.000000,-0.502067,-0.833844,0.000000
154,-0.251254,-0.418389,10.000000,-0.251254,-0.418389,0.000000
155,-0.000000,-0.000000,10.000000,-0.000000,-0.000000,0.000000
156,0.251254,0.418389,10.000000,0.251254,0.418389,0.000000
157,0.502067,0.833844,10.000000,0.502067,0.833844,0.000000
158,0.751999,1.243449,10.000000,0.751999,1.243449,0.000000
159,1.000612,1.644333,10.000000,1.000612,1.644333,0.000000
160,1.247470,2.033683,10.000000,1.247470,2.033683,0.000000
161,1.492139,2.408768,10.000000,1.492139,2.408768,0.000000
162,1.734191,2.766958,10.000000,1.734191,2.766958,0.000000
163,1.973200,3.105739,10.000000,1.973200,3.105739,0.000000
164,2.208747,3.422736,10.000000,2.208747,3.422736,0.000000
165,2.440420,3.715724,10.000000,2.440420,3.715724,0.000000
166,2.667811,3.982650,10.000000,2.667811,3.982650,0.000000
167,2.890522,4.221640,10.000000,2.890522,4.221640,0.000000
168,3.108162,4.431018,10.000000,3.108162,4.431018,0.000000
169,3.320349,4.609316,10.000000,3.320349,4.609316,0.000000
170,3.526712,4.755283,10.000000,3.526712,4.755283,0.000000
171,3.726887,4.867895,10.000000,3.726887,4.867895,0.000000
172,3.920524,4.946362,10.000000,3.920524,4.946362,0.000000
173,4.107283,4.990134,10.000000,4.107283,4.990134,0.000000
174,4.286836,4.998903,10.000000,4.286836,4.998903,0.000000
175,4.458869,4.972609,10.000000,4.458869,4.972609,0.000000
176,4.623079,4.911436,10.000000,4.623079,4.911436,0.000000
177,4.779180,4.815813,10.000000,4.779180,4.815813,0.000000
178,4.926895,4.686410,10.000000,4.926895,4.686410,0.000000
179,5.065968,4.524135,10.000000,5.065968,4.524135,0.000000
180,5.196152,4.330127,10.000000,5.196152,4.330127,0.000000
181,5.317221,4.105746,10.000000,5.317221,4.105746,0.000000
182,5.428962,3.852566,10.000000,5.428962,3.852566,0.000000
183,5.531179,3.572363,10.000000,5.531179,3.572363,0.000000
184,5.623692,3.267103,10.000000,5.623692,3.267103,0.000000
185,5.706339,2.938926,10.000000,5.706339,2.938926,0.000000
186,5.778975,2.590135,10.000000,5.778975,2.590135,0.000000
187,5.841473,2.223176,10.000000,5.841473,2.223176,0.000000
188,5.893724,1.840623,10.000000,5.893724,1.840623,0.000000
189,5.935634,1.445159,10.000000,5.935634,1.445159,0.000000
190,5.967131,1.039558,10.000000,5.967131,1.039558,0.000000
191,5.988160,0.626666,10.000000,5.988160,0.626666,0.000000
192,5.998684,0.209378,10.000000,5.998684,0.209378,0.000000
193,5.998684,-0.209378,10.000000,5.998684,-0.209378,0.000000
194,5.988160,-0.626666,10.000000,5.988160,-0.626666,0.000000
195,5.967131,-1.039558,10.000000,5.967131,-1.039558,0.000000
196,5.935634,-1.445159,10.000000,5.935634,-1.445159,0.000000
197,5.893724,-1.840623,10.000000,5.893724,-1.840623,0.000000
198,5.841473,-2.223176,10.000000,5.841473,-2.223176,0.000000
199,5.778975,-2.590135,10.000000,5.778975,-2.590135,0.000000
200,5.706339,-2.938926,10.000000,5.706339,-2.938926,0.000000
201,5.623692,-3.267103,10.000000,5.623692,-3.267103,0.000000
202,5.531179,-3.572363,10.000000,5.531179,-3.572363,0.000000
203,5.428962,-3.852566,10.000000,5.428962,-3.852566,0.000000
204,5.317221,-4.105746,10.000000,5.317221,-4.105746,0.000000
205,5.196152,-4.330127,10.000000,5.196152,-4.330127,0.000000
206,5.065968,-4.524135,10.000000,5.065968,-4.524135,0.000000
207,4.926895,-4.686410,10.000000,4.926895,-4.686410,0.000000
208,4.779180,-4.815813,10.000000,4.779180,-4.815813,0.000000
209,4.623079,-4.911436,10.000000,4.623079,-4.911436,0.000000
210,4.458869,-4.972609,10.000000,4.458869,-4.972609,0.000000
211,4.286836,-4.998903,10.000000,4.286836,-4.998903,0.000000
