frame,x,y,z,dx,dy,dz
95,-4.420293,1.288436,4.000000,-4.420293,1.288436,0.000000
96,-4.457076,0.955332,4.000000,-4.457076,0.955332,0.000000
97,-4.482601,0.612581,4.000000,-4.482601,0.612581,0.000000
98,-4.496803,0.263644,4.000000,-4.496803,0.263644,0.000000
99,-4.499645,-0.087955,4.000000,-4.499645,-0.087955,0.000000
100,-4.491120,-0.438666,4.000000,-4.491120,-0.438666,0.000000
101,-4.471251,-0.784948,4.000000,-4.471251,-0.784948,0.000000
102,-4.440087,-1.123303,4.000000,-4.440087,-1.123303,0.000000
103,-4.397707,-1.450315,4.000000,-4.397707,-1.450315,0.000000
104,-4.344217,-1.762681,4.000000,-4.344217,-1.762681,0.000000
105,-4.279754,-2.057248,4.000000,-4.279754,-2.057248,0.000000
106,-4.204480,-2.331042,4.000000,-4.204480,-2.331042,0.000000
107,-4.118585,-2.581296,4.000000,-4.118585,-2.581296,0.000000
108,-4.022286,-2.805484,4.000000,-4.022286,-2.805484,0.000000
109,-3.915827,-3.001343,4.000000,-3.915827,-3.001343,0.000000
110,-3.799476,-3.166895,4.000000,-3.799476,-3.166895,0.000000
111,-3.673527,-3.300467,4.000000,-3.673527,-3.300467,0.000000
112,-3.538298,-3.400711,4.000000,-3.538298,-3.400711,0.000000
113,-3.394131,-3.466615,4.000000,-3.394131,-3.466615,0.000000
114,-3.241391,-3.497513,4.000000,-3.241391,-3.497513,0.000000
115,-3.080462,-3.493094,4.000000,-3.080462,-3.493094,0.000000
116,-2.911752,-3.453401,4.000000,-2.911752,-3.453401,0.000000
117,-2.735686,-3.378836,4.000000,-2.735686,-3.378836,0.000000
118,-2.552710,-3.270151,4.000000,-2.552710,-3.270151,0.000000
119,-2.363286,-3.128445,4.000000,-2.363286,-3.128445,0.000000
120,-2.167892,-2.955148,4.000000,-2.167892,-2.955148,0.000000
121,-1.967021,-2.752010,4.000000,-1.967021,-2.752010,0.000000
122,-1.761182,-2.521082,4.000000,-1.761182,-2.521082,0.000000
123,-1.550893,-2.264696,4.000000,-1.550893,-2.264696,0.000000
124,-1.336687,-1.985441,4.000000,-1.336687,-1.985441,0.000000
