frame,x,y,z,dx,dy,dz
0,-8.000000,-8.000000,10.000000,0.000000,0.000000,0.000000
1,-8.000000,-8.000000,10.000000,0.000000,0.000000,0.000000
2,-8.000000,-8.000000,10.000000,0.000000,0.000000,0.000000
3,-8.000000,-8.000000,10.000000,0.000000,0.000000,0.000000
4,-8.000000,-8.000000,10.000000,0.000000,0.000000,0.000000
5,-8.000000,-8.000000,10.000000,0.000000,0.000000,0.000000
6,-7.700000,-8.000000,10.000000,0.300000,0.000000,0.000000
7,-7.100000,-8.000000,10.000000,0.900000,0.000000,0.000000
8,-6.500000,-8.000000,10.000000,1.500000,0.000000,0.000000
9,-6.200000,-8.000000,10.000000,1.800000,0.000000,0.000000
10,-5.600000,-8.000000,10.000000,2.400000,0.000000,0.000000
11,-5.000000,-8.000000,10.000000,3.000000,0.000000,0.000000
12,-4.700000,-8.000000,10.000000,3.300000,0.000000,0.000000
13,-4.100000,-8.000000,10.000000,3.900000,0.000000,0.000000
14,-3.800000,-8.000000,10.000000,4.200000,0.000000,0.000000
15,-3.200000,-8.000000,10.000000,4.800000,0.000000,0.000000
16,-2.600000,-8.000000,10.000000,5.400000,0.000000,0.000000
17,-2.000000,-8.000000,10.000000,6.000000,0.000000,0.000000
18,-1.700000,-8.000000,10.000000,6.300000,0.000000,0.000000
19,-1.100000,-8.000000,10.000000,6.900000,0.000000,0.000000
20,-0.500000,-8.000000,10.000000,7.500000,0.000000,0.000000
21,-0.200000,-8.000000,10.000000,7.800000,0.000000,0.000000
22,0.400000,-8.000000,10.000000,8.400000,0.000000,0.000000
23,0.700000,-8.000000,10.000000,8.700000,0.000000,0.000000
24,1.300000,-8.000000,10.000000,9.300000,0.000000,0.000000
25,1.900000,-8.000000,10.000000,9.900000,0.000000,0.000000
26,2.500000,-8.000000,10.000000,10.500000,0.000000,0.000000
27,2.800000,-8.000000,10.000000,10.800000,0.000000,0.000000
28,3.400000,-8.000000,10.000000,11.400000,0.000000,0.000000
29,4.000000,-8.000000,10.000000,12.000000,0.000000,0.000000
30,4.300000,-8.000000,10.000000,12.300000,0.000000,0.000000
31,4.900000,-8.000000,10.000000,12.900000,0.000000,0.000000
32,5.500000,-8.000000,10.000000,13.500000,0.000000,0.000000
33,5.800000,-8.000000,10.000000,13.800000,0.000000,0.000000
34,6.400000,-8.000000,10.000000,14.400000,0.000000,0.000000
35,7.000000,-8.000000,10.000000,15.000000,0.000000,0.000000
36,7.300000,-8.000000,10.000000,15.300000,0.000000,0.000000
37,7.900000,-8.000000,10.000000,15.900000,0.000000,0.000000
