frame,x,y,z,qx,qy,qz,qw
50,0.0696094984,-0.1198335033,0.9679866843,0,0,0,1
51,0.0647723550,-0.1203850888,0.9704160454,0,0,0,1
52,0.0610184819,-0.1188957990,0.9724659248,0,0,0,1
53,0.0557338656,-0.1166087374,0.9710740241,0,0,0,1
54,0.0515017916,-0.1134735103,0.9708242608,0,0,0,1
55,0.0470549494,-0.1094961688,0.9710356227,0,0,0,1
56,0.0433964347,-0.1048197533,0.9709584741,0,0,0,1
57,0.0397437728,-0.0992830059,0.9697397134,0,0,0,1
58,0.0356262689,-0.0922413756,0.9666506676,0,0,0,1
59,0.0307394878,-0.0850574559,0.9662740565,0,0,0,1
60,0.0268584546,-0.0773479618,0.9705497383,0,0,0,1
61,0.0231054811,-0.0678880057,0.9695364364,0,0,0,1
62,0.0189970443,-0.0582369044,0.9736397382,0,0,0,1
63,0.0158296542,-0.0478057317,0.9702965874,0,0,0,1
64,0.0124677616,-0.0369389215,0.9743332959,0,0,0,1
65,0.0094055400,-0.0267581882,0.9683483955,0,0,0,1
66,0.0059308782,-0.0157695080,0.9729086454,0,0,0,1
67,0.0021753433,-0.0042329254,0.9710319891,0,0,0,1
68,-0.0012328701,0.0069568420,0.9727513739,0,0,0,1
69,-0.0048342645,0.0183200910,0.9683493167,0,0,0,1
70,-0.0086534706,0.0287027171,0.9684776338,0,0,0,1
71,-0.0128996039,0.0399009872,0.9689778873,0,0,0,1
72,-0.0166878826,0.0502086152,0.9730688114,0,0,0,1
73,-0.0208939103,0.0606426293,0.9710640622,0,0,0,1
74,-0.0245584022,0.0702963480,0.9725755638,0,0,0,1
75,-0.0282205616,0.0790993467,0.9678784712,0,0,0,1
76,-0.0326707376,0.0873427361,0.9733826577,0,0,0,1
77,-0.0366811069,0.0953534319,0.9725691865,0,0,0,1
78,-0.0406641289,0.1025698202,0.9688173264,0,0,0,1
79,-0.0440910290,0.1086547331,0.9685720705,0,0,0,1
80,-0.0482687298,0.1128458852,0.9699283893,0,0,0,1
81,-0.0532575157,0.1167520736,0.9711522281,0,0,0,1
82,-0.0582454455,0.1187962192,0.9696735807,0,0,0,1
83,-0.0624639888,0.1212240639,0.9712954616,0,0,0,1
84,-0.0670268713,0.1223383341,0.9676843701,0,0,0,1
85,-0.0716937103,0.1226417909,0.9726877091,0,0,0,1
86,-0.0753535962,0.1210375221,0.9724054318,0,0,0,1
87,-0.0887483104,0.1092076775,0.9718050488,0,0,0,1
88,-0.0930429670,0.1064946601,0.9679567058,0,0,0,1
89,-0.0973493117,0.1024694623,0.9719652567,0,0,0,1
90,-0.1022275701,0.0973258243,0.9678003250,0,0,0,1
91,-0.1062247753,0.0909100556,0.9727978505,0,0,0,1
92,-0.1099751263,0.0843952975,0.9675029616,0,0,0,1
93,-0.1153292394,0.0771770368,0.9696098561,0,0,0,1
94,-0.1199148546,0.0691624318,0.9716913850,0,0,0,1
95,-0.1241657997,0.0602396113,0.9679232817,0,0,0,1
96,-0.1282071526,0.0512609053,0.9661878860,0,0,0,1
97,-0.1320935385,0.0417780863,0.9689607326,0,0,0,1
98,-0.1340882340,0.0322563342,0.9690447887,0,0,0,1
99,-0.1361392400,0.0231805809,0.9690780982,0,0,0,1
100,-0.1384322033,0.0137050517,0.9702459760,0,0,0,1
101,-0.1406859177,0.0038704322,0.9698422084,0,0,0,1
102,-0.1418531876,-0.0062263814,0.9700988326,0,0,0,1
103,-0.1442564381,-0.0157076182,0.9682359699,0,0,0,1
104,-0.1448790540,-0.0246973920,0.9690738838,0,0,0,1
105,-0.1455688437,-0.0337954349,0.9708196529,0,0,0,1
106,-0.1455730503,-0.0420643803,0.9680806233,0,0,0,1
107,-0.1447442039,-0.0494137888,0.9676646484,0,0,0,1
108,-0.1438105332,-0.0563805415,0.9698578711,0,0,0,1
109,-0.1427466078,-0.0629376573,0.9744423990,0,0,0,1
110,-0.1412089160,-0.0684805167,0.9743176021,0,0,0,1
111,-0.1386519683,-0.0737288938,0.9652229403,0,0,0,1
112,-0.1358799891,-0.0773054257,0.9690446767,0,0,0,1
113,-0.1318376601,-0.0808181839,0.9696469217,0,0,0,1
114,-0.1272425942,-0.0827125547,0.9696790125,0,0,0,1
115,-0.1225746052,-0.0829833438,0.9698288755,0,0,0,1
116,-0.1175080856,-0.0830643861,0.9687168620,0,0,0,1
117,-0.1120062456,-0.0819400718,0.9695284598,0,0,0,1
118,-0.1065256182,-0.0811496568,0.9676034319,0,0,0,1
119,-0.1005966997,-0.0785051416,0.9666988040,0,0,0,1
120,-0.0936958983,-0.0753667595,0.9677010388,0,0,0,1
121,-0.0866618619,-0.0717173596,0.9699187986,0,0,0,1
122,-0.0789029490,-0.0663443020,0.9712197254,0,0,0,1
123,-0.0714165822,-0.0613515047,0.9746526550,0,0,0,1
124,-0.0634489917,-0.0554562045,0.9685936505,0,0,0,1
125,-0.0555637600,-0.0491607924,0.9719067609,0,0,0,1
126,-0.0467900220,-0.0416382302,0.9698313117,0,0,0,1
127,-0.0382514137,-0.0339268835,0.9692062251,0,0,0,1
128,-0.0296557693,-0.0271124198,0.9713183169,0,0,0,1
129,-0.0212857918,-0.0190376044,0.9696716243,0,0,0,1
130,-0.0121821152,-0.0106852537,0.9684220250,0,0,0,1
131,-0.0037839123,-0.0028496700,0.9685036509,0,0,0,1
132,0.0046336790,0.0044309847,0.9680076779,0,0,0,1
133,0.0128290562,0.0121850238,0.9678040908,0,0,0,1
134,0.0215508939,0.0195447835,0.9708670774,0,0,0,1
135,0.0303646047,0.0269289928,0.9703734362,0,0,0,1
136,0.0386183338,0.0336246371,0.9677324294,0,0,0,1
137,0.0461528106,0.0403992436,0.9669797306,0,0,0,1
138,0.0533960675,0.0455085955,0.9718627029,0,0,0,1
139,0.0614502179,0.0504970177,0.9695740471,0,0,0,1
140,0.0686020838,0.0542921851,0.9696883220,0,0,0,1
141,0.0755442506,0.0580765684,0.9696244884,0,0,0,1
142,0.0823408945,0.0608240092,0.9696912024,0,0,0,1
143,0.0882480520,0.0621668961,0.9681344985,0,0,0,1
144,0.0941897365,0.0628988651,0.9722686582,0,0,0,1
145,0.0993871993,0.0633635636,0.9721100242,0,0,0,1
146,0.1045488571,0.0627423163,0.9702431423,0,0,0,1
147,0.1089135794,0.0610088353,0.9647710029,0,0,0,1
