frame,x,y,z,qx,qy,qz,qw
62,0.0023314119316637516,0.0014870319282636046,0.9999916553497314,-6.875972270965576,-8.592966079711914,-7.415531158447266,-0.0030041851568967104
63,0.002387157641351223,0.0014890499878674746,0.9999913573265076,-6.999325752258301,-8.741477966308594,-7.542292594909668,-0.0030711223371326923
64,0.0024376430083066225,0.0014978365506976843,0.9999910593032837,-7.121476650238037,-8.88992691040039,-7.671022891998291,-0.003118297317996621
65,0.0024926005862653255,0.0015124748460948467,0.9999908208847046,-7.243188381195068,-9.038447380065918,-7.79997444152832,-0.0031596894841641188
66,0.002541082678362727,0.0015494519611820579,0.9999905824661255,-7.364780426025391,-9.186968803405762,-7.929041862487793,-0.0031859599985182285
67,0.0025920982006937265,0.0015901937149465084,0.9999902248382568,-7.485168933868408,-9.335387229919434,-8.057770729064941,-0.0032245442271232605
68,0.002645540749654174,0.0016147788846865296,0.9999898672103882,-7.606812000274658,-9.483589172363281,-8.184103965759277,-0.003276488510891795
69,0.0026902889367192984,0.0016301716677844524,0.9999895095825195,-7.728123188018799,-9.631946563720703,-8.310320854187012,-0.00333595834672451
70,0.002730762120336294,0.0016532097943127155,0.9999891519546509,-7.848978519439697,-9.780256271362305,-8.436964988708496,-0.003390402067452669
71,0.0027596522122621536,0.0016840856987982988,0.999988853931427,-7.970465660095215,-9.9286470413208,-8.561286926269531,-0.003438717918470502
72,0.002790748840197921,0.001702099572867155,0.9999885559082031,-8.09197998046875,-10.0770263671875,-8.684865951538086,-0.0034953653812408447
73,0.0028197146020829678,0.0017352994764223695,0.9999882578849792,-8.213407516479492,-10.22516918182373,-8.808570861816406,-0.00354016269557178
74,0.0028510689735412598,0.0017620929284021258,0.9999880194664001,-8.334732055664062,-10.373154640197754,-8.933547019958496,-0.003581273602321744
75,0.0028867158107459545,0.0017999502597376704,0.9999877214431763,-8.455421447753906,-10.521224975585938,-9.058653831481934,-0.0036270045675337315
76,0.002921495120972395,0.0018212981522083282,0.9999873042106628,-8.575592994689941,-10.668956756591797,-9.183796882629395,-0.003683342132717371
77,0.0029551645275205374,0.001826128689572215,0.9999869465827942,-8.695544242858887,-10.816590309143066,-9.309761047363281,-0.003748296294361353
78,0.002990098437294364,0.0018378192326053977,0.9999865889549255,-8.81513500213623,-10.964395523071289,-9.437307357788086,-0.003806335385888815
79,0.003032868029549718,0.0018471083603799343,0.9999862313270569,-8.934280395507812,-11.112173080444336,-9.565834999084473,-0.0038665286265313625
80,0.0030817908700555563,0.0018420778214931488,0.9999858736991882,-9.053000450134277,-11.25974178314209,-9.695427894592285,-0.003929050173610449
81,0.0031311609782278538,0.0018244435777887702,0.99998539686203,-9.170930862426758,-11.40688419342041,-9.82571792602539,-0.004005612805485725
82,0.003177403239533305,0.0018218753393739462,0.9999850392341614,-9.288731575012207,-11.553881645202637,-9.956171035766602,-0.004076831508427858
83,0.003219661535695195,0.0018100286833941936,0.9999845623970032,-9.407090187072754,-11.700562477111816,-10.08543586730957,-0.004154011141508818
84,0.0032577463425695896,0.0017912776675075293,0.999984085559845,-9.525822639465332,-11.847067832946777,-10.214095115661621,-0.004240180365741253
85,0.0032994835637509823,0.001757956575602293,0.9999836683273315,-9.644649505615234,-11.993680953979492,-10.343907356262207,-0.004333878867328167
86,0.003344787983223796,0.0017115813679993153,0.9999831318855286,-9.7636137008667,-12.140570640563965,-10.473708152770996,-0.0044328924268484116
87,0.0033899969421327114,0.0016869709361344576,0.9999826550483704,-9.882424354553223,-12.287861824035645,-10.604991912841797,-0.0045181866735219955
88,0.003431860823184252,0.001693589729256928,0.9999821782112122,-10.001118659973145,-12.435532569885254,-10.735734939575195,-0.0045858025550842285
89,0.0034745370503515005,0.0017071564216166735,0.999981701374054,-10.120185852050781,-12.583288192749023,-10.865277290344238,-0.004649237729609013
90,0.003511428600177169,0.001733212498947978,0.9999812841415405,-10.238981246948242,-12.73092269897461,-10.996192932128906,-0.004704553168267012
91,0.0035553977359086275,0.0017500129761174321,0.9999808669090271,-10.357535362243652,-12.878411293029785,-11.127503395080566,-0.00475927721709013
92,0.0036000730469822884,0.001747630420140922,0.9999803304672241,-10.476723670959473,-13.025694847106934,-11.257972717285156,-0.004835916217416525
93,0.0036553351674228907,0.001713997102342546,0.9999797344207764,-10.596362113952637,-13.172656059265137,-11.387840270996094,-0.004932045936584473
94,0.003708376083523035,0.0017015838529914618,0.9999790787696838,-10.715678215026855,-13.319234848022461,-11.518552780151367,-0.0050195795483887196
95,0.0037520998157560825,0.0016994709149003029,0.9999786019325256,-10.834585189819336,-13.465323448181152,-11.651265144348145,-0.005086742807179689
96,0.003806830383837223,0.001675356994383037,0.9999781250953674,-10.953251838684082,-13.611393928527832,-11.785880088806152,-0.005141070112586021
97,0.0039035393856465816,0.001595959416590631,0.9999774098396301,-11.070952415466309,-13.757254600524902,-11.920120239257812,-0.00523236021399498
98,0.004001368768513203,0.0015553936827927828,0.9999766945838928,-11.188081741333008,-13.90295696258545,-12.055597305297852,-0.005322681739926338
99,0.004056213889271021,0.0015725992852821946,0.9999761581420898,-11.305068969726562,-14.047992706298828,-12.191073417663574,-0.005371463485062122
100,0.004143632482737303,0.0015898615820333362,0.9999752044677734,-11.421771049499512,-14.19294548034668,-12.324060440063477,-0.0054673487320542336
101,0.004220963921397924,0.0015913485549390316,0.999974250793457,-11.538297653198242,-14.339005470275879,-12.455647468566895,-0.005584002938121557
102,0.0042885467410087585,0.0015755703207105398,0.9999732375144958,-11.654913902282715,-14.484869956970215,-12.586915969848633,-0.005719555541872978
103,0.004377833101898432,0.0015379654942080379,0.9999719262123108,-11.772422790527344,-14.630945205688477,-12.718365669250488,-0.005885451100766659
104,0.004450005479156971,0.0015309519367292523,0.999970555305481,-11.889713287353516,-14.776508331298828,-12.850967407226562,-0.00606190413236618
