frame,dx,dy,dz
141,-0.33522941,0.00220316,-0.08887666
142,-0.34022755,-0.00103281,-0.09079850
143,-0.34135346,-0.00153268,-0.09125990
144,-0.34108360,-0.00165625,-0.09115934
145,-0.34185664,-0.00251580,-0.09183699
146,-0.34148003,-0.00283437,-0.09146512
147,-0.34608335,-0.00842683,-0.09265834
148,-0.34229467,-0.01061815,-0.08939677
149,-0.33093954,-0.00597126,-0.08474970
150,-0.33880962,-0.00908285,-0.08863366
151,-0.34411008,-0.01047066,-0.09142470
152,-0.34637118,-0.01031995,-0.09293449
153,-0.34249092,-0.00916220,-0.09138811
154,-0.34610281,-0.00979571,-0.09329963
155,-0.35369230,-0.00808793,-0.09863162
156,-0.35369794,-0.00805189,-0.09862012
157,-0.35362403,-0.00800540,-0.09858572
158,-0.35695333,-0.00672827,-0.10158944
159,-0.35676543,-0.00668884,-0.10149491
160,-0.36532245,-0.00594500,-0.10748082
161,-0.36532597,-0.00592983,-0.10747474
162,-0.36532641,-0.00596654,-0.10745126
163,-0.37294669,-0.00526957,-0.11294550
164,-0.37216757,-0.00496371,-0.11249441
165,-0.37136928,-0.00395296,-0.11253422
166,-0.37090329,-0.00396248,-0.11218315
167,-0.37062086,-0.00400538,-0.11197650
168,-0.37396474,-0.00335455,-0.11487520
169,-0.37382756,-0.00324197,-0.11482167
170,-0.37700097,-0.00216860,-0.11783296
171,-0.37708125,-0.00212525,-0.11789703
172,-0.37970255,-0.00131622,-0.12035865
173,-0.37986142,-0.00133705,-0.12047434
174,-0.37994952,-0.00139603,-0.12054121
175,-0.38134129,-0.00029620,-0.12223941
176,-0.38133503,-0.00029477,-0.12223053
177,-0.38387413,0.00064136,-0.12481576
178,-0.38382844,0.00056012,-0.12472475
179,-0.38393859,0.00055395,-0.12477672
180,-0.38578356,0.00191140,-0.12715924
181,-0.38575275,0.00189705,-0.12711751
182,-0.38899467,-0.00058108,-0.12881482
183,-0.38744623,0.00213631,-0.12913328
184,-0.38951422,0.00270175,-0.13091952
185,-0.38960616,0.00270222,-0.13101172
186,-0.39065100,0.00101112,-0.13130099
187,-0.39075838,0.00105072,-0.13138634
188,-0.39079581,0.00110287,-0.13143378
189,-0.39076228,0.00113244,-0.13143659
190,-0.39068429,0.00115183,-0.13142204
191,-0.39066191,0.00116978,-0.13141900
192,-0.39071549,0.00116908,-0.13145757
193,-0.39078219,0.00114177,-0.13147402
194,-0.39065410,0.00112044,-0.13135779
195,-0.39075730,0.00109030,-0.13138473
196,-0.39096809,0.00100095,-0.13145179
197,-0.39114229,0.00086138,-0.13147175
198,-0.39121980,0.00070966,-0.13147080
199,-0.39106123,0.00062775,-0.13133311
200,-0.39071618,0.00056922,-0.13104981
201,-0.39032120,0.00043454,-0.13066423
202,-0.38991354,0.00031981,-0.13028193
203,-0.38946859,0.00023975,-0.12989801
204,-0.38919927,0.00021944,-0.12967950
205,-0.38912777,0.00022764,-0.12961197
206,-0.38914732,0.00022777,-0.12962633
207,-0.38910596,0.00021936,-0.12959683
208,-0.38898335,0.00026663,-0.12952560
209,-0.38894389,0.00027160,-0.12953818
210,-0.38895608,0.00025578,-0.12956017
211,-0.38888148,0.00026981,-0.12952644
212,-0.38880102,0.00033543,-0.12949783
213,-0.38885207,0.00039107,-0.12957239
214,-0.39115522,0.00160712,-0.13186657
215,-0.39148141,0.00157333,-0.13205725
216,-0.38964758,0.00157508,-0.13066435
217,-0.38957069,0.00162341,-0.13061076
218,-0.38945995,0.00159364,-0.13048267
219,-0.39075221,0.00173523,-0.13184905
220,-0.39068429,0.00177364,-0.13180500
221,-0.39265744,0.00221724,-0.13327479
222,-0.39246837,0.00224314,-0.13313049
223,-0.39132718,0.00253853,-0.13264519
224,-0.39116223,0.00257827,-0.13255155
225,-0.39097140,0.00262710,-0.13242769
226,-0.39080579,0.00222134,-0.13194406
227,-0.39068333,0.00225125,-0.13185471
228,-0.38991640,0.00246467,-0.13178080
229,-0.38979731,0.00253482,-0.13172835
230,-0.38972039,0.00258135,-0.13167721
231,-0.38987468,0.00219648,-0.13134259
232,-0.38979031,0.00222925,-0.13127702
233,-0.39101262,0.00226226,-0.13192797
234,-0.39083196,0.00227149,-0.13179386
235,-0.39074428,0.00227501,-0.13172245
236,-0.39092953,0.00313058,-0.13188404
237,-0.39078386,0.00318254,-0.13180256
238,-0.39056248,0.00326169,-0.13168216
239,-0.39077378,0.00225881,-0.13135970
240,-0.39052791,0.00232042,-0.13123614
241,-0.38881270,0.00370178,-0.13060731
242,-0.38876582,0.00376022,-0.13060457
243,-0.38874794,0.00384664,-0.13062984
244,-0.38896568,0.00409958,-0.13089877
245,-0.38886331,0.00415754,-0.13086259
246,-0.39051268,0.00365092,-0.13168138
247,-0.39041472,0.00366764,-0.13162094
248,-0.38734035,0.00416314,-0.12972975
249,-0.38732595,0.00416191,-0.12971669
250,-0.38580359,0.00439778,-0.12865371
251,-0.38582400,0.00437379,-0.12865984
252,-0.38585127,0.00436181,-0.12867993
253,-0.38749600,0.00534918,-0.13042611
254,-0.38752095,0.00530392,-0.13042170
255,-0.38756184,0.00528829,-0.13043362
256,-0.38617824,0.00461684,-0.12895119
257,-0.38618622,0.00460255,-0.12895000
258,-0.38637743,0.00497895,-0.12937039
259,-0.38645090,0.00499043,-0.12942946
260,-0.38651545,0.00500042,-0.12947696
261,-0.38675545,0.00488277,-0.12972778
262,-0.38669745,0.00490452,-0.12969905
263,-0.38583232,0.00505831,-0.12915421
264,-0.38581143,0.00502751,-0.12910289
265,-0.38579897,0.00504960,-0.12909067
266,-0.38623641,0.00506485,-0.12920529
267,-0.38618932,0.00503970,-0.12918109
268,-0.38679076,0.00498704,-0.12962413
269,-0.38666941,0.00497073,-0.12954307
270,-0.38663072,0.00497533,-0.12952882
271,-0.38682992,0.00491076,-0.12948060
272,-0.38684381,0.00490661,-0.12948895
273,-0.38646794,0.00583910,-0.12977135
274,-0.38635964,0.00581858,-0.12970978
275,-0.38668294,0.00549445,-0.12976557
276,-0.38670270,0.00550932,-0.12980086
277,-0.38672710,0.00550432,-0.12982196
278,-0.38733835,0.00536407,-0.12992001
279,-0.38731496,0.00539983,-0.12993634
280,-0.38699658,0.00599618,-0.12998265
281,-0.38702006,0.00598585,-0.12999219
282,-0.38692255,0.00601615,-0.12993091
283,-0.38746179,0.00652716,-0.13044578
284,-0.38751633,0.00657068,-0.13049924
285,-0.38743413,0.00631711,-0.13061124
286,-0.38748227,0.00631423,-0.13064229
287,-0.38764022,0.00626994,-0.13072890
288,-0.38730852,0.00619266,-0.13024712
289,-0.38738925,0.00619034,-0.13030654
290,-0.38762344,0.00672907,-0.13068765
291,-0.38755182,0.00671358,-0.13062072
292,-0.38764952,0.00679133,-0.13058454
293,-0.38775081,0.00672632,-0.13060707
294,-0.38755609,0.00719442,-0.13066763
295,-0.38755841,0.00716514,-0.13064194
296,-0.38761340,0.00713556,-0.13065475
297,-0.38768936,0.00688258,-0.13081491
298,-0.38776327,0.00686148,-0.13085932
299,-0.38790585,0.00670862,-0.13086027
