frame,dx,dy,dz
143,-0.11429507,-0.00126416,-0.00910437
144,-0.11435430,-0.00114696,-0.00910634
145,-0.12486704,0.00145845,-0.01082408
146,-0.12483710,0.00138277,-0.01082206
147,-0.13427410,0.00187757,-0.01256651
148,-0.13432012,0.00205248,-0.01257014
149,-0.13433272,0.00220498,-0.01256835
150,-0.14286000,0.00240931,-0.01430321
151,-0.14287642,0.00237729,-0.01430494
152,-0.14357062,0.00208743,-0.01440233
153,-0.15253438,0.00332268,-0.01630169
154,-0.15243080,0.00311762,-0.01628458
155,-0.16059902,0.00254447,-0.01818323
156,-0.16060753,0.00244478,-0.01818997
157,-0.16057159,0.00231663,-0.01818776
158,-0.16927862,0.00154618,-0.02034503
159,-0.16928199,0.00157034,-0.02034110
160,-0.17729369,0.00119777,-0.02253288
161,-0.17729631,0.00113915,-0.02253324
162,-0.17727485,0.00117944,-0.02252412
163,-0.18457900,-0.00055111,-0.02466798
164,-0.18458204,-0.00051287,-0.02466917
165,-0.19188273,-0.00096858,-0.02690130
166,-0.19190896,-0.00126234,-0.02691674
167,-0.19192380,-0.00134762,-0.02692634
168,-0.19858405,0.00005756,-0.02892584
169,-0.19858609,0.00004700,-0.02892154
170,-0.20592160,-0.00237793,-0.03131092
171,-0.20591556,-0.00226321,-0.03131467
172,-0.21149915,-0.00074297,-0.03333867
173,-0.21152648,-0.00062558,-0.03335625
174,-0.21155447,-0.00051406,-0.03337675
175,-0.21840802,-0.00250003,-0.03573143
176,-0.21844262,-0.00211155,-0.03574878
177,-0.22333281,-0.00291209,-0.03768361
178,-0.22338587,-0.00235842,-0.03770590
179,-0.22337504,-0.00208955,-0.03771544
180,-0.22914293,-0.00670538,-0.03993440
181,-0.22913226,-0.00648438,-0.03993618
182,-0.23317887,-0.00754343,-0.04181319
183,-0.23318942,-0.00695143,-0.04184049
184,-0.23838611,-0.01320983,-0.04405421
185,-0.23837720,-0.01297361,-0.04404461
186,-0.24128307,-0.03249816,-0.04615462
187,-0.24145125,-0.03056341,-0.04615700
188,-0.24161683,-0.02834324,-0.04615027
189,-0.24187265,-0.02597993,-0.04617125
190,-0.24209011,-0.02396140,-0.04621941
