frame,x,y,z,qx,qy,qz,qw
0,-0.0005781134823337197,-3.102924893028103e-05,0.9999998807907104,4.0468625229550526e-05,0.00032851967262104154,-0.001335948589257896,0.00013483491784427315
1,9.92601562757045e-05,-0.0001302693272009492,1.0,-0.00029147815075702965,0.0001667823235038668,-7.498332706745714e-05,-2.8864089472335763e-05
2,0.00013949764252174646,-5.612297172774561e-05,1.0,-0.0005357941845431924,0.00020549166947603226,-0.00011529959010658786,-3.3212436392204836e-05
3,-0.00037758599501103163,-0.0003796481469180435,0.9999997615814209,0.0011530182091519237,0.0017313208663836122,0.0007266371976584196,0.0004605432623066008
4,0.007288408000022173,-0.0005496430094353855,0.999961256980896,-0.02281009405851364,-0.035994838923215866,-0.0012598586035892367,0.004910177551209927
5,0.00735925417393446,-0.0005760068306699395,0.99996018409729,-0.02274511381983757,-0.03504744917154312,-0.002341092564165592,0.00502809090539813
6,0.01344187743961811,-0.0015138410963118076,0.9998586773872375,-0.041354745626449585,-0.07068906724452972,-0.0035725042689591646,0.00998452864587307
7,0.01340815145522356,-0.0013254215009510517,0.9998490810394287,-0.04116338863968849,-0.06752218306064606,-0.003024460282176733,0.010968843474984169
8,0.02135646902024746,-0.0014341070782393217,0.9997177720069885,-0.06641557067632675,-0.12143032997846603,-0.00567681435495615,0.010304862633347511
9,0.02314230054616928,-0.0038033125456422567,0.99971604347229,-0.07275287061929703,-0.19173340499401093,-0.010461726225912571,0.004228317644447088
10,0.022360507398843765,-0.0038327707443386316,0.9997309446334839,-0.07016326487064362,-0.189615398645401,-0.010160575620830059,0.0048432317562401295
11,0.029929645359516144,-0.004649480804800987,0.9995341897010803,-0.09441496431827545,-0.2449037879705429,-0.010406017303466797,0.003734349273145199
12,0.036336030811071396,-0.004820418078452349,0.9993124604225159,-0.11526992917060852,-0.2904404103755951,-0.01062724832445383,0.005578647833317518
13,0.036458179354667664,-0.00485976692289114,0.9992981553077698,-0.11510281264781952,-0.28525811433792114,-0.010414821095764637,0.0070983534678816795
14,0.042034272104501724,-0.004698031581938267,0.9990316033363342,-0.13266804814338684,-0.32012009620666504,-0.0088958153501153,0.012124571949243546
15,0.04228196665644646,-0.004507135134190321,0.9990185499191284,-0.13344204425811768,-0.3191521465778351,-0.008679218590259552,0.012406361289322376
16,0.050834771245718,-0.004526949487626553,0.9986121654510498,-0.1611688882112503,-0.3690159320831299,-0.009131677448749542,0.013006328605115414
17,0.057212330400943756,-0.0040931194089353085,0.9982239603996277,-0.1814166158437729,-0.40933674573898315,-0.008487493731081486,0.01609582081437111
18,0.057179730385541916,-0.003863768419250846,0.9982141852378845,-0.1810663640499115,-0.40681666135787964,-0.008422262966632843,0.016851302236318588
19,0.060504741966724396,-0.0028010765090584755,0.997876763343811,-0.19140471518039703,-0.43359148502349854,-0.008211211301386356,0.02394334226846695
20,0.062446702271699905,-0.0020932655315846205,0.9977219104766846,-0.19696669280529022,-0.4284648001194,-0.009685961529612541,0.025436770170927048
21,0.06734366714954376,-0.0008921915432438254,0.9972245693206787,-0.21193161606788635,-0.4576486051082611,-0.010005318559706211,0.03173736855387688
22,0.07513085007667542,0.0013087893603369594,0.9963646531105042,-0.2354867309331894,-0.48013314604759216,-0.012685984373092651,0.040139444172382355
23,0.07441456615924835,0.0013819035375490785,0.9964028000831604,-0.232938751578331,-0.4786827564239502,-0.012811776250600815,0.04052336513996124
24,0.08023633807897568,0.0022311394568532705,0.9957519769668579,-0.25055548548698425,-0.5129024982452393,-0.014804597944021225,0.04511256515979767
25,0.08023632317781448,0.002278918633237481,0.9957422614097595,-0.2506631016731262,-0.5123031139373779,-0.01471232995390892,0.045324645936489105
26,0.08695781975984573,0.004677313845604658,0.9946519136428833,-0.2697935700416565,-0.5277559757232666,-0.022196533158421516,0.05553450435400009
27,0.0919707864522934,0.00534422742202878,0.9939528107643127,-0.28496047854423523,-0.5623852014541626,-0.02573835290968418,0.05975526571273804
