frame,dx,dy,dz
148,-0.00552863,-0.00849367,-0.00012249
149,-0.00546379,-0.00844846,-0.00012100
150,-0.00540108,-0.00846148,-0.00012076
151,-0.00532996,-0.00847056,-0.00012022
152,-0.00526627,-0.00845503,-0.00011933
153,-0.00520235,-0.00845332,-0.00011861
154,-0.00512058,-0.00848350,-0.00011760
155,-0.00504340,-0.00846711,-0.00011593
156,-0.00499197,-0.00838263,-0.00011426
157,-0.00490885,-0.00847371,-0.00011450
158,-0.00484135,-0.00849918,-0.00011373
159,-0.00476234,-0.00862876,-0.00011420
160,-0.00467152,-0.00885548,-0.00011545
161,-0.00458102,-0.00908921,-0.00011665
162,-0.00450482,-0.00920889,-0.00011659
163,-0.00443987,-0.00927656,-0.00011599
164,-0.00433978,-0.00941232,-0.00011539
165,-0.00429390,-0.00936218,-0.00011277
166,-0.00427287,-0.00921749,-0.00010908
167,-0.00426145,-0.00900017,-0.00010443
168,-0.00420295,-0.00899004,-0.00010216
169,-0.00412574,-0.00897312,-0.00009996
170,-0.00405508,-0.00897974,-0.00009853
171,-0.00397814,-0.00904405,-0.00009811
172,-0.00392115,-0.00898667,-0.00009644
173,-0.00384870,-0.00910228,-0.00009698
174,-0.00378660,-0.00914535,-0.00009650
175,-0.00373089,-0.00920261,-0.00009650
176,-0.00365920,-0.00935914,-0.00009757
177,-0.00358522,-0.00953394,-0.00009894
178,-0.00352885,-0.00959733,-0.00009900
179,-0.00348122,-0.00958564,-0.00009781
180,-0.00344544,-0.00948489,-0.00009578
181,-0.00340374,-0.00941670,-0.00009423
182,-0.00337506,-0.00932270,-0.00009239
183,-0.00332183,-0.00933338,-0.00009209
184,-0.00329048,-0.00928530,-0.00009131
185,-0.00324643,-0.00920606,-0.00009006
186,-0.00319374,-0.00918411,-0.00008965
187,-0.00315113,-0.00913376,-0.00008953
188,-0.00311393,-0.00902571,-0.00008833
189,-0.00307211,-0.00895477,-0.00008750
190,-0.00301613,-0.00899700,-0.00008827
191,-0.00299086,-0.00896159,-0.00008798
192,-0.00294979,-0.00894398,-0.00008774
193,-0.00291302,-0.00895717,-0.00008810
194,-0.00286756,-0.00892840,-0.00008774
195,-0.00281406,-0.00886339,-0.00008631
196,-0.00275626,-0.00885226,-0.00008607
197,-0.00274757,-0.00872218,-0.00008535
198,-0.00271595,-0.00866447,-0.00008577
199,-0.00272032,-0.00837392,-0.00008357
200,-0.00270883,-0.00783743,-0.00007915
201,-0.00273901,-0.00714064,-0.00007445
202,-0.00273612,-0.00680818,-0.00007385
203,-0.00270498,-0.00633665,-0.00007117
204,-0.00286312,-0.00486383,-0.00005776
205,-0.00528802,0.01652818,-0.00015503
206,-0.00545688,0.01677378,-0.00015992
207,-0.00546089,0.01701067,-0.00016356
208,-0.00301733,0.01482372,-0.00011843
209,-0.00124544,0.01448297,-0.00011128
210,-0.00064541,0.01443969,-0.00011224
211,-0.00032610,0.01408280,-0.00010782
212,-0.00005099,0.01372670,-0.00010324
213,0.00043319,0.01298276,-0.00009435
214,0.00104406,0.01199380,-0.00008416
215,0.00184457,0.01107592,-0.00007755
216,0.00229948,0.01049132,-0.00007540
217,0.00265954,0.00983890,-0.00007379
218,0.00309579,0.00909309,-0.00007260
219,0.00365915,0.00799682,-0.00007081
220,0.00436629,0.00666091,-0.00007170
221,0.00513304,0.00561860,-0.00007588
222,0.00605740,0.00421580,-0.00008500
223,0.00703557,0.00349399,-0.00009733
224,0.00801453,0.00302037,-0.00011528
225,0.00869817,0.00184564,-0.00013304
226,0.00919947,0.00109434,-0.00014848
227,0.00926298,0.00081923,-0.00015122
228,0.00908311,0.00055254,-0.00014621
229,0.00912474,0.00054865,-0.00014347
230,0.00934550,0.00080369,-0.00014555
231,0.00980271,0.00089207,-0.00015414
232,0.01032470,0.00083133,-0.00016254
233,0.01073607,0.00051146,-0.00016868
234,0.01105108,0.00025190,-0.00017345
235,0.01123680,0.00020070,-0.00017583
236,0.01128716,0.00040625,-0.00017738
237,0.01102770,0.00091192,-0.00017244
238,0.01075509,0.00127070,-0.00016707
239,0.01048221,0.00157299,-0.00015974
240,0.01061473,0.00140493,-0.00015968
241,0.01063661,0.00122154,-0.00015807
242,0.01056050,0.00134599,-0.00015652
243,0.01048512,0.00160665,-0.00015473
244,0.01047545,0.00170817,-0.00015420
245,0.01048165,0.00182927,-0.00015354
246,0.01045802,0.00198929,-0.00015283
247,0.01044037,0.00212821,-0.00015241
248,0.01044406,0.00220979,-0.00015253
249,0.01045215,0.00222010,-0.00015295
250,0.01044500,0.00224603,-0.00015301
251,0.01043361,0.00223046,-0.00015318
252,0.01042220,0.00223834,-0.00015318
253,0.01040775,0.00222022,-0.00015342
254,0.01037764,0.00219233,-0.00015348
255,0.01037929,0.00212556,-0.00015390
256,0.01037952,0.00206409,-0.00015432
257,0.01037063,0.00201001,-0.00015432
258,0.01034799,0.00193642,-0.00015390
259,0.01034270,0.00188640,-0.00015396
260,0.01033755,0.00181579,-0.00015390
261,0.01033192,0.00174998,-0.00015348
262,0.01032219,0.00171052,-0.00015306
263,0.01032317,0.00165528,-0.00015318
264,0.01034783,0.00160386,-0.00015366
265,0.01036951,0.00154168,-0.00015396
266,0.01039031,0.00150161,-0.00015438
267,0.01040375,0.00149992,-0.00015503
268,0.01041593,0.00152177,-0.00015563
269,0.01041707,0.00155995,-0.00015593
270,0.01042723,0.00158977,-0.00015658
271,0.01044148,0.00159688,-0.00015736
272,0.01045677,0.00159624,-0.00015801
273,0.01047585,0.00161653,-0.00015891
274,0.01048220,0.00169781,-0.00015956
275,0.01050198,0.00173657,-0.00016040
276,0.01061816,0.00172120,-0.00016332
277,0.01073259,0.00168896,-0.00016642
278,0.01083590,0.00165934,-0.00016892
279,0.01094240,0.00160049,-0.00017136
280,0.01106278,0.00148907,-0.00017363
281,0.01117149,0.00131422,-0.00017554
282,0.01128471,0.00114841,-0.00017792
283,0.01142112,0.00096365,-0.00018132
284,0.01160640,0.00061702,-0.00018609
285,0.01187557,0.00029376,-0.00019222
286,0.01211283,0.00008699,-0.00019699
287,0.01231175,-0.00016512,-0.00020194
288,0.01253748,-0.00035838,-0.00020736
289,0.01263408,-0.00044534,-0.00021154
290,0.01274116,-0.00021358,-0.00021482
291,0.01287002,0.00010343,-0.00021827
292,0.01300581,0.00046542,-0.00022244
293,0.01312770,0.00077122,-0.00022620
294,0.01325322,0.00107319,-0.00022960
295,0.01336681,0.00127298,-0.00023246
296,0.01344302,0.00134748,-0.00023443
297,0.01350036,0.00135680,-0.00023574
298,0.01355881,0.00139915,-0.00023723
299,0.01361539,0.00137653,-0.00023860
300,0.01366976,0.00125112,-0.00023973
301,0.01371751,0.00115796,-0.00024074
302,0.01378212,0.00097268,-0.00024164
303,0.01384581,0.00069975,-0.00024253
304,0.01393130,0.00022817,-0.00024354
305,0.01396857,-0.00017976,-0.00024527
306,0.01392471,-0.00043132,-0.00024599
307,0.01381519,-0.00056556,-0.00024509
308,0.01372215,-0.00051811,-0.00024492
309,0.01365249,-0.00044378,-0.00024492
310,0.01361457,-0.00038757,-0.00024557
311,0.01356289,-0.00031742,-0.00024575
312,0.01352277,-0.00023476,-0.00024581
313,0.01350050,-0.00020446,-0.00024593
314,0.01343788,-0.00012088,-0.00024498
315,0.01341685,-0.00011174,-0.00024533
316,0.01355336,-0.00029010,-0.00025141
317,0.01377075,-0.00054831,-0.00025851
318,0.01405629,-0.00084984,-0.00026578
319,0.01432898,-0.00107775,-0.00027198
320,0.01461091,-0.00131290,-0.00027895
321,0.01490463,-0.00152276,-0.00028604
322,0.01517636,-0.00167310,-0.00029230
323,0.01531301,-0.00172649,-0.00029677
324,0.01537119,-0.00168728,-0.00029999
325,0.01543287,-0.00156834,-0.00030333
326,0.01551255,-0.00147490,-0.00030690
327,0.01562136,-0.00138514,-0.00031066
328,0.01578343,-0.00136244,-0.00031471
329,0.01590228,-0.00128604,-0.00031751
