frame,x,y
235,-0.429248,0.097169
236,-0.429775,0.133712
237,-0.429509,0.135931
238,-0.429117,0.139312
239,-0.428066,0.096477
240,-0.427663,0.099108
241,-0.425614,0.158109
242,-0.425605,0.160604
243,-0.425688,0.164296
244,-0.426564,0.175099
245,-0.426446,0.177574
246,-0.429114,0.155936
247,-0.428917,0.156650
248,-0.422755,0.177814
249,-0.422712,0.177761
250,-0.419248,0.187836
251,-0.419268,0.186811
252,-0.419333,0.186299
253,-0.425024,0.228471
254,-0.425009,0.226538
255,-0.425048,0.225871
256,-0.420217,0.197192
257,-0.420214,0.196582
258,-0.421583,0.212658
259,-0.421776,0.213149
260,-0.421931,0.213575
261,-0.422748,0.208550
262,-0.422654,0.209479
263,-0.420879,0.216048
264,-0.420712,0.214732
265,-0.420672,0.215676
266,-0.421045,0.216327
267,-0.420967,0.215253
268,-0.422410,0.213004
269,-0.422146,0.212307
270,-0.422100,0.212504
271,-0.421943,0.209746
272,-0.421970,0.209568
273,-0.422890,0.249397
274,-0.422689,0.248520
275,-0.422871,0.234676
276,-0.422986,0.235311
277,-0.423055,0.235097
278,-0.423375,0.229107
279,-0.423428,0.230635
280,-0.423579,0.256105
281,-0.423610,0.255664
282,-0.423410,0.256958
283,-0.425088,0.278785
284,-0.425262,0.280643
285,-0.425627,0.269813
286,-0.425728,0.269690
287,-0.426010,0.267798
288,-0.424440,0.264498
289,-0.424634,0.264398
290,-0.425876,0.287409
291,-0.425658,0.286747
292,-0.425540,0.290068
293,-0.425613,0.287291
294,-0.425811,0.307284
295,-0.425727,0.306033
296,-0.425769,0.304770
297,-0.426291,0.293965
298,-0.426435,0.293064
299,-0.426439,0.286535
