frame,health,est_x,est_y,est_z,ref_x,ref_y,ref_z
101,1,4.462115,0.898784,0.0,4.462115,0.898784,0.0
102,1,4.471251,0.784948,0.0,4.471251,0.784948,0.0
103,1,4.479132,0.67023,0.0,4.479132,0.67023,0.0
104,1,4.485756,0.55476,0.0,4.485756,0.55476,0.0
105,1,4.49112,0.438666,0.0,4.49112,0.438666,0.0
106,1,4.495224,0.322081,0.0,4.495224,0.322081,0.0
107,1,4.498066,0.205133,0.0,4.498066,0.205133,0.0
108,1,4.499645,0.087955,0.0,4.499645,0.087955,0.0
109,1,4.499961,-0.029321,0.0,4.499961,-0.029321,0.0
110,1,4.499013,-0.146565,0.0,4.499013,-0.146565,0.0
111,1,4.496803,-0.263644,0.0,4.496803,-0.263644,0.0
112,1,4.49333,-0.380427,0.0,4.49333,-0.380427,0.0
113,1,4.488596,-0.496783,0.0,4.488596,-0.496783,0.0
114,1,4.482601,-0.612581,0.0,4.482601,-0.612581,0.0
115,1,4.475349,-0.727691,0.0,4.475349,-0.727691,0.0
116,1,4.466839,-0.841984,0.0,4.466839,-0.841984,0.0
117,1,4.457076,-0.955332,0.0,4.457076,-0.955332,0.0
118,1,4.446062,-1.067607,0.0,4.446062,-1.067607,0.0
119,1,4.4338,-1.178683,0.0,4.4338,-1.178683,0.0
120,1,4.420293,-1.288436,0.0,4.420293,-1.288436,0.0
121,1,4.405545,-1.396742,0.0,4.405545,-1.396742,0.0
122,1,4.38956,-1.50348,0.0,4.38956,-1.50348,0.0
123,1,4.372343,-1.60853,0.0,4.372343,-1.60853,0.0
124,1,4.353898,-1.711773,0.0,4.353898,-1.711773,0.0
125,1,4.334232,-1.813095,0.0,4.334232,-1.813095,0.0
126,1,4.313348,-1.91238,0.0,4.313348,-1.91238,0.0
127,1,4.291254,-2.009519,0.0,4.291254,-2.009519,0.0
128,1,4.267955,-2.104401,0.0,4.267955,-2.104401,0.0
129,1,4.243457,-2.19692,0.0,4.243457,-2.19692,0.0
130,1,4.217769,-2.286972,0.0,4.217769,-2.286972,0.0
131,1,4.190896,-2.374457,0.0,4.190896,-2.374457,0.0
132,1,4.162847,-2.459275,0.0,4.162847,-2.459275,0.0
133,1,4.13363,-2.541332,0.0,4.13363,-2.541332,0.0
134,1,4.103252,-2.620535,0.0,4.103252,-2.620535,0.0
135,1,4.071722,-2.696796,0.0,4.071722,-2.696796,0.0
136,1,4.039049,-2.770029,0.0,4.039049,-2.770029,0.0
137,1,4.005242,-2.840152,0.0,4.005242,-2.840152,0.0
138,1,3.970311,-2.907086,0.0,3.970311,-2.907086,0.0
139,1,3.934265,-2.970755,0.0,3.934265,-2.970755,0.0
140,1,3.897114,-3.031089,0.0,3.897114,-3.031089,0.0
141,1,3.85887,-3.088019,0.0,3.85887,-3.088019,0.0
142,1,3.819542,-3.141482,0.0,3.819542,-3.141482,0.0
143,1,3.779142,-3.191418,0.0,3.779142,-3.191418,0.0
144,1,3.737682,-3.23777,0.0,3.737682,-3.23777,0.0
145,1,3.695171,-3.280487,0.0,3.695171,-3.280487,0.0
146,1,3.651624,-3.31952,0.0,3.651624,-3.31952,0.0
147,1,3.607051,-3.354826,0.0,3.607051,-3.354826,0.0
148,1,3.561466,-3.386365,0.0,3.561466,-3.386365,0.0
149,1,3.514881,-3.414102,0.0,3.514881,-3.414102,0.0
150,0,3.514881,-3.414102,0.0,3.46731,-3.438005,0.0
151,0,3.514881,-3.414102,0.0,3.418765,-3.458048,0.0
152,0,3.514881,-3.414102,0.0,3.36926,-3.474208,0.0
153,0,3.514881,-3.414102,0.0,3.318809,-3.486468,0.0
154,0,3.514881,-3.414102,0.0,3.267427,-3.494812,0.0
155,0,3.514881,-3.414102,0.0,3.215127,-3.499232,0.0
156,0,3.514881,-3.414102,0.0,3.161925,-3.499724,0.0
157,0,3.514881,-3.414102,0.0,3.107835,-3.496285,0.0
158,0,3.514881,-3.414102,0.0,3.052873,-3.488921,0.0
159,0,3.514881,-3.414102,0.0,2.997053,-3.47764,0.0
160,0,3.514881,-3.414102,0.0,2.940393,-3.462453,0.0
161,0,3.514881,-3.414102,0.0,2.882907,-3.443379,0.0
162,0,3.514881,-3.414102,0.0,2.824611,-3.420438,0.0
163,0,3.514881,-3.414102,0.0,2.765523,-3.393657,0.0
164,0,3.514881,-3.414102,0.0,2.705658,-3.363066,0.0
165,0,3.514881,-3.414102,0.0,2.645034,-3.328698,0.0
166,0,3.514881,-3.414102,0.0,2.583667,-3.290592,0.0
167,0,3.514881,-3.414102,0.0,2.521575,-3.248792,0.0
168,0,3.514881,-3.414102,0.0,2.458775,-3.203344,0.0
169,0,3.514881,-3.414102,0.0,2.395284,-3.154299,0.0
170,0,3.514881,-3.414102,0.0,2.331122,-3.101713,0.0
171,0,3.514881,-3.414102,0.0,2.266304,-3.045643,0.0
172,0,3.514881,-3.414102,0.0,2.200851,-2.986154,0.0
173,0,3.514881,-3.414102,0.0,2.13478,-2.923312,0.0
174,0,3.514881,-3.414102,0.0,2.068109,-2.857187,0.0
175,0,3.514881,-3.414102,0.0,2.000858,-2.787855,0.0
176,0,3.514881,-3.414102,0.0,1.933046,-2.715392,0.0
177,0,3.514881,-3.414102,0.0,1.86469,-2.63988,0.0
178,0,3.514881,-3.414102,0.0,1.795811,-2.561404,0.0
179,0,3.514881,-3.414102,0.0,1.726428,-2.480052,0.0
180,0,3.514881,-3.414102,0.0,1.65656,-2.395915,0.0
181,0,3.514881,-3.414102,0.0,1.586228,-2.309088,0.0
182,0,3.514881,-3.414102,0.0,1.51545,-2.219668,0.0
183,0,3.514881,-3.414102,0.0,1.444246,-2.127756,0.0
184,0,3.514881,-3.414102,0.0,1.372637,-2.033455,0.0
185,0,3.514881,-3.414102,0.0,1.300643,-1.93687,0.0
186,0,3.514881,-3.414102,0.0,1.228284,-1.838111,0.0
187,0,3.514881,-3.414102,0.0,1.15558,-1.737288,0.0
188,0,3.514881,-3.414102,0.0,1.082551,-1.634514,0.0
189,0,3.514881,-3.414102,0.0,1.009218,-1.529905,0.0
190,0,3.514881,-3.414102,0.0,0.935603,-1.423578,0.0
191,0,3.514881,-3.414102,0.0,0.861724,-1.315653,0.0
192,0,3.514881,-3.414102,0.0,0.787604,-1.20625,0.0
193,0,3.514881,-3.414102,0.0,0.713262,-1.095493,0.0
